2026-08-05 08:43:59 | ERROR    | researchmind | Quiz Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:59 | INFO     | researchmind | ✔ BaseAgent completed in 17.554s
2026-08-05 08:43:59 | INFO     | researchmind | Pipeline finished. Agents run: 11, errors: 7
2026-08-05 08:44:39 | INFO     | researchmind | Pipeline started for query: artificial intelligence in healthcare
2026-08-05 08:44:39 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:44:41 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:44:47 | INFO     | researchmind | ✔ BaseAgent completed in 8.385s
2026-08-05 08:44:47 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:44:47 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:45:07 | INFO     | researchmind | ✔ BaseAgent completed in 19.840s
2026-08-05 08:45:07 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:45:07 | INFO     | researchmind | RAG Agent: no documents indexed, skipping retrieval
2026-08-05 08:45:07 | INFO     | researchmind | ✔ BaseAgent completed in 0.000s
2026-08-05 08:45:07 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:45:07 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:45:31 | WARNING  | researchmind | Verification parse failed: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
2026-08-05 08:45:31 | INFO     | researchmind | ✔ BaseAgent completed in 23.359s
2026-08-05 08:45:31 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:45:31 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:46:17 | INFO     | researchmind | ✔ BaseAgent completed in 46.793s
2026-08-05 08:46:17 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:46:17 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:46:52 | INFO     | researchmind | ✔ BaseAgent completed in 34.991s
2026-08-05 08:46:52 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:47:18 | INFO     | researchmind | ✔ BaseAgent completed in 25.922s
2026-08-05 08:47:18 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:47:18 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:47:58 | INFO     | researchmind | Pipeline started for query: quantum computing basics
2026-08-05 08:47:59 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:48:00 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:48:06 | INFO     | researchmind | ✔ BaseAgent completed in 7.530s
2026-08-05 08:48:06 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:48:06 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:48:24 | INFO     | researchmind | ✔ BaseAgent completed in 18.385s
2026-08-05 08:48:24 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:48:24 | INFO     | researchmind | RAG Agent: no documents indexed, skipping retrieval
2026-08-05 08:48:24 | INFO     | researchmind | ✔ BaseAgent completed in 0.000s
2026-08-05 08:48:24 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:48:24 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:49:27 | WARNING  | researchmind | Verification parse failed: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
2026-08-05 08:49:27 | INFO     | researchmind | ✔ BaseAgent completed in 63.038s
2026-08-05 08:49:27 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:49:27 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:51:29 | INFO     | researchmind | ✔ BaseAgent completed in 121.291s
2026-08-05 08:51:29 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:51:29 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:52:21 | INFO     | researchmind | ✔ BaseAgent completed in 52.720s
2026-08-05 08:52:21 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:52:40 | INFO     | researchmind | ✔ BaseAgent completed in 18.992s
2026-08-05 08:52:40 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:52:40 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:53:35 | INFO     | researchmind | ✔ BaseAgent completed in 54.382s
2026-08-05 08:53:35 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:53:35 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:54:08 | INFO     | researchmind | ✔ BaseAgent completed in 32.838s
2026-08-05 08:54:08 | INFO     | researchmind | ▶ BaseAgent started
